iter	RMSE
667	57.39249782
668	57.38870029
669	57.37423845
670	57.36909753
671	57.36376212
672	57.35590458
673	57.35056655
674	57.34264028
675	57.33385083
676	57.32773132
677	57.3198944
678	57.30877325
679	57.30266827
680	57.29576988
681	57.29117782
682	57.28687409
683	57.2762988
684	57.26956927
685	57.25699947
686	57.24900654
687	57.24511076
688	57.23557621
689	57.22846798
690	57.22217739
691	57.21299023
692	57.20607619
693	57.19677852
694	57.1831971
695	57.17340119
696	57.16496951
697	57.15588379
698	57.1427043
699	57.13480766
700	57.12393463
701	57.11609457
702	57.10561232
703	57.09603073
704	57.08911735
705	57.08508768
706	57.0782246
707	57.07429513
708	57.07033143
709	57.06789533
710	57.06032172
711	57.05138617
712	57.04367733
713	57.04086852
714	57.03304977
715	57.02490052
716	57.0185647
717	57.00665953
718	57.00143392
719	56.99411507
720	56.98826269
721	56.98209947
722	56.96913107
723	56.96404294
724	56.9556777
725	56.94383968
726	56.93831764
727	56.92335106
728	56.91567367
729	56.90568708
730	56.89829593
731	56.89111126
732	56.88916606
733	56.87675815
734	56.87197496
735	56.86633065
736	56.85528241
737	56.84418189
738	56.83857096
739	56.83306876
740	56.8295022
741	56.82578826
742	56.81570924
743	56.80761544
744	56.79759074
745	56.79185882
746	56.78816
747	56.77965656
748	56.77053511
749	56.76595842
750	56.75767589
751	56.75263613
752	56.74542423
753	56.73747376
754	56.73410755
755	56.73028527
756	56.7239509
757	56.71394923
758	56.70664239
759	56.70186409
760	56.68995127
761	56.68372361
762	56.67868542
763	56.66800084
764	56.66431016
765	56.65776083
766	56.65551736
767	56.65168178
768	56.64669099
769	56.63586812
770	56.63121426
771	56.624443
772	56.61315496
773	56.60281192
774	56.59759322
775	56.59425447
776	56.58702437
777	56.57542451
778	56.57204942
779	56.56997761
780	56.56654927
781	56.56010256
782	56.55744927
783	56.54488682
784	56.54102309
785	56.52262956
786	56.51506436
787	56.5096921
788	56.50505793
789	56.50190147
790	56.4926509
791	56.48324061
792	56.47685981
793	56.46865798
794	56.46107178
795	56.45501097
796	56.4475337
797	56.44423148
798	56.43783357
799	56.42574925
800	56.42078537
801	56.41177497
802	56.40482322
803	56.3991669
